form	lemma	POS	morph
པར་སྐྲུན་	པར་སྐྲུན་	OTHER
གསལ་	གསལ་	VERB
བཤད་	བཤད་	VERB
"།

༄༅། །"		PUNCT
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
རྒྱལ་ཚབ་	རྒྱལ་ཚབ་	NOUN
བྱམས་པ་	བྱམས་པ་	PROPN
མགོན་པོ་	མགོན་པོ་	NOUN
ས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
མངོན་རྟོགས་	མངོན་རྟོགས་	NOUN
རྒྱན་	རྒྱན་	NOUN
འདི་	འདི་	DET
ལ་	ལ་	PART
སྔོན་བྱོན་	སྔོན་བྱོན་	NOUN
འཕགས་	འཕགས་	VERB
བོད་	བོད་	PROPN
མཁས་གྲུབ་	མཁས་གྲུབ་	NOUN
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
རྒྱ་	རྒྱ་	VERB
བསྡུ་	བསྡུ་	VERB
ནམ་མཁ་	ནམ་མཁའ་	NOUN
འི་	གི་	PART
སྐར་	སྐར་	NO_POS
ཚོགས་	ཚོགས་	NOUN
ལྟ་	ལྟ་	OTHER
མཛད་	མཛད་	VERB
མོད་	མོད་	VERB
།		PUNCT
དུས་ཕྱིས་	དུས་ཕྱིས་	NO_POS
མཁས་གྲུབ་	མཁས་གྲུབ་	NOUN
ཀརྨ་པ་	ཀརྨ་པ་	NO_POS
གསུམ་པ་	གསུམ་པ་	NUM
རང་བྱུང་	རང་བྱུང་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ས་	གིས་	PART
མངོན་རྟོགས་	མངོན་རྟོགས་	NOUN
རྒྱན་	རྒྱན་	NOUN
གྱི་	གི་	PART
ས་བཅད་	ས་བཅད་	NOUN
སྣང་བྱེད་	སྣང་བྱེད་	PROPN
སྒྲོན་མེ་	སྒྲོན་མེ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
